year,uk_source_event_key,sackmann_tourney_id,official_tournament_id,note
2019,,2019-M021,1038,Backfilled via cross-year location consistency (Madrid)
2019,,2019-M024,1017,Backfilled via cross-year location consistency (Cincinnati)
2019,,2019-M035,1045,Backfilled via cross-year location consistency (Washington)
2020,,2020-M004,1002,Backfilled via cross-year location consistency (Acapulco)
2020,,2020-M009,709,Backfilled via cross-year location consistency (Rome)
2020,,2020-M024,1017,Backfilled via cross-year location consistency (Cincinnati)
2020,,2020-M056,2030,"Backfilled: same-year non-M0xx Adelaide row also resolved to 2030 (2020's Adelaide International, pre-'1'/'2' split naming)"
2007,2007_42_rogers_cup_toronto,2007-W-T1-CAN-01A-2007,806,"User-verified (Rogers Cup Toronto), https://www.wtatennis.com/tournaments/806/toronto/2007 - automatic matcher left this pair unmatched"
2009,2009_41_toronto_rogers_cup,2009-W-PR-CAN-01A-2009,806,"Same alternating Toronto/Montreal event as the 2007 user-verified row above - WTA-API's group_name for id 806 is always 'MONTREAL' (its stable base name) even in Toronto-hosted years, so the Sackmann<->WTA-API backfill scores it too low to trust"
2011,2011_41_toronto_rogers_cup,2011-W-PR-CAN-01A-2011,806,"Same alternating Toronto/Montreal event as the 2007 user-verified row above - WTA-API's group_name for id 806 is always 'MONTREAL' (its stable base name) even in Toronto-hosted years, so the Sackmann<->WTA-API backfill scores it too low to trust"
2013,2013_42_toronto_rogers_cup,2013-W-PR-CAN-01A-2013,806,"Same alternating Toronto/Montreal event as the 2007 user-verified row above - WTA-API's group_name for id 806 is always 'MONTREAL' (its stable base name) even in Toronto-hosted years, so the Sackmann<->WTA-API backfill scores it too low to trust"
2015,2015_41_toronto_rogers_cup,2015-W-P5-CAN-01A-2015,806,"Same alternating Toronto/Montreal event as the 2007 user-verified row above - WTA-API's group_name for id 806 is always 'MONTREAL' (its stable base name) even in Toronto-hosted years, so the Sackmann<->WTA-API backfill scores it too low to trust"
2007,2007_18_amelia_island_bausch_lomb_championships,2007-W-T2-USA-01A-2007,803,"User-verified via https://www.wtatennis.com/tournaments/803/ponte-vedra-beach/2007 - Sackmann calls this event 'Amelia Island' in 2007-2008 before WTA-API's stable group_name 'PONTE VEDRA BEACH' (its later host city) matches automatically from 2009 on"
2008,2008_18_amelia_island_bausch_lomb_championships,2008-W-T2-USA-01A-2008,803,"User-verified via https://www.wtatennis.com/tournaments/803/ponte-vedra-beach/2007 - Sackmann calls this event 'Amelia Island' in 2007-2008 before WTA-API's stable group_name 'PONTE VEDRA BEACH' (its later host city) matches automatically from 2009 on"
2007,2007_38_stanford_bank_of_the_west_classic,2007-W-T2-USA-02A-2007,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2008,2008_36_stanford_bank_of_the_west_classic,2008-W-T2-USA-02A-2008,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2009,2009_38_stanford_bank_of_the_west_classic,2009-W-PR-USA-02A-2009,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2010,2010_39_stanford_bank_of_the_west_classic,2010-W-PR-USA-02A-2010,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2011,2011_38_stanford_bank_of_the_west_classic,2011-W-PR-USA-02A-2011,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2012,2012_35_stanford_bank_of_the_west_classic,2012-W-PR-USA-02A-2012,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2013,2013_39_stanford_bank_of_the_west_classic,2013-W-PR-USA-02A-2013,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2014,2014_38_stanford_bank_of_the_west_classic,2014-W-PR-USA-02A-2014,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2015,2015_39_stanford_bank_of_the_west_classic,2015-W-P700-USA-03A-2015,703,"User-verified via https://www.wtatennis.com/tournaments/703/san-jose/2007 - Sackmann calls this event 'Stanford' 2007-2017 while WTA-API's group_name is always 'SAN JOSE' (its later host city), same naming-drift pattern as Toronto/Montreal"
2007,2007_25_fes_fesgrand_prix_de_sar_la_princesse_lalla_meryem,2007-W-T4-MAR-01A-2007,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2008,2008_21_fes_grand_prix_de_sar_la_princesse_lalla_meryem,2008-W-T4-MAR-01A-2008,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2009,2009_19_fes_grand_prix_de_sar_la_princesse_lalla_meryem,2009-W-INT-MAR-01A-2009,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2010,2010_20_fes_grand_prix_de_sar_la_princesse_lalla_meryem,2010-W-INT-MAR-01A-2010,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2011,2011_19_fes_grand_prix_de_sar_la_princesse_lalla_meryem,2011-W-INT-MAR-01A-2011,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2012,2012_20_fes_grand_prix_de_sar_la_princesse_lalla_meryem,2012-W-INT-MAR-01A-2012,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2013,2013_21_marrakech_grand_prix_de_sar_la_princesse_lalla_meryem,2013-W-INT-MAR-01A-2013,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2014,2014_21_marrakech_grand_prix_de_sar_la_princesse_lalla_meryem,2014-W-INT-MAR-01A-2014,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2015,2015_21_marrakesh_grand_prix_sar_lalla_meryem,2015-W-INT-MAR-01A-2015,1005,"User-verified via https://www.wtatennis.com/tournaments/1005/rabat/2007 - Sackmann calls this event 'Fes' (2007-2012) then 'Marrakech' (2013-2015) while WTA-API's group_name is always 'RABAT' (its later host city), same naming-drift pattern as Toronto/Montreal and Stanford/San Jose"
2007,2007_61_madrid_sony_ericsson_championships,2007-W-WT-ESP-01A-2007,808,"User-verified via https://www.wtatennis.com/tournaments/808/wta-finals/2007 - this event relocates almost every year (Madrid/Doha/Istanbul/Singapore/Shenzhen/...); Sackmann calls it 'WTA Tour Championships'/'WTA Championships' 2007-2013 while WTA-API's group_name is the generic, stable 'WTA FINALS' - resolves automatically from 2014 on"
2008,2008_58_doha_sony_ericsson_championships,2008-W-WT-QAT-01A-2008,808,"User-verified via https://www.wtatennis.com/tournaments/808/wta-finals/2007 - this event relocates almost every year (Madrid/Doha/Istanbul/Singapore/Shenzhen/...); Sackmann calls it 'WTA Tour Championships'/'WTA Championships' 2007-2013 while WTA-API's group_name is the generic, stable 'WTA FINALS' - resolves automatically from 2014 on"
2009,2009_54_doha_sony_ericsson_championships,2009-W-WT-QAT-01A-2009,808,"User-verified via https://www.wtatennis.com/tournaments/808/wta-finals/2007 - this event relocates almost every year (Madrid/Doha/Istanbul/Singapore/Shenzhen/...); Sackmann calls it 'WTA Tour Championships'/'WTA Championships' 2007-2013 while WTA-API's group_name is the generic, stable 'WTA FINALS' - resolves automatically from 2014 on"
2010,2010_56_doha_sony_ericsson_championships,2010-W-WT-QAT-01A-2010,808,"User-verified via https://www.wtatennis.com/tournaments/808/wta-finals/2007 - this event relocates almost every year (Madrid/Doha/Istanbul/Singapore/Shenzhen/...); Sackmann calls it 'WTA Tour Championships'/'WTA Championships' 2007-2013 while WTA-API's group_name is the generic, stable 'WTA FINALS' - resolves automatically from 2014 on"
2011,2011_56_istanbul_sony_ericsson_championships,2011-W-WT-TUR-01A-2011,808,"User-verified via https://www.wtatennis.com/tournaments/808/wta-finals/2007 - this event relocates almost every year (Madrid/Doha/Istanbul/Singapore/Shenzhen/...); Sackmann calls it 'WTA Tour Championships'/'WTA Championships' 2007-2013 while WTA-API's group_name is the generic, stable 'WTA FINALS' - resolves automatically from 2014 on"
2012,2012_55_istanbul_sony_ericsson_championships,2012-W-WT-TUR-01A-2012,808,"User-verified via https://www.wtatennis.com/tournaments/808/wta-finals/2007 - this event relocates almost every year (Madrid/Doha/Istanbul/Singapore/Shenzhen/...); Sackmann calls it 'WTA Tour Championships'/'WTA Championships' 2007-2013 while WTA-API's group_name is the generic, stable 'WTA FINALS' - resolves automatically from 2014 on"
2013,2013_56_istanbul_sony_ericsson_championships,2013-W-WT-TUR-01A-2013,808,"User-verified via https://www.wtatennis.com/tournaments/808/wta-finals/2007 - this event relocates almost every year (Madrid/Doha/Istanbul/Singapore/Shenzhen/...); Sackmann calls it 'WTA Tour Championships'/'WTA Championships' 2007-2013 while WTA-API's group_name is the generic, stable 'WTA FINALS' - resolves automatically from 2014 on"
2007,2007_2_gold_coast_mondial_australian_women_s_hardcourts,,1066,"User-verified official id via https://www.wtatennis.com/tournaments/1066/gold-coast/2007 (Dec 2006-Jan 2007 edition). No Sackmann counterpart exists for this specific edition - Sackmann's WTA archive only has a Gold Coast/id-1066 row for the Dec 2007-Jan 2008 edition (tagged year=2008, already auto-resolved). sackmann_tourney_id deliberately left blank in case Sackmann's archive is ever corrected/extended to include this edition - applied via the UK-only override path added to match_uk_to_sackmann_tourneys (keyed on uk_source_event_key alone, for rows with no Sackmann counterpart)."
2009,2009_55_bali_commonwealth_bank_tournament_of_champions,2009-W-CHA-INA-01A-2009,1043,"User-verified (Tournament of Champions, Bali) - id 1043 found via wta_api_tournaments.csv (group_name always 'SOFIA', its later 2012+ host city; title says 'BALI, INDONESIA' 2009-2011). Sackmann calls this event 'Tournament of Champions' unchanged in every year 2009-2014, so even the Sofia-hosted years (2012-2014, where title/group_name literally match) score just below the 0.8 backfill threshold (~0.77, name_score dragged down by 'Tournament of Champions' vs the full descriptive title)."
2010,2010_57_bali_commonwealth_bank_tournament_of_champions,2010-W-CHA-INA-01A-2010,1043,"Same event as the 2009 row above (id 1043) - see that note for the full explanation."
2011,2011_57_bali_commonwealth_bank_tournament_of_champions,2011-W-CHA-INA-01A-2011,1043,"Same event as the 2009 row above (id 1043) - see that note for the full explanation."
2012,2012_56_sofia_qatar_airways_tournament_of_champions_sofia,2012-W-CHA-BUL-01A-2012,1043,"Same event as the 2009 row above (id 1043), moved from Bali to Sofia this year - see that note for the full explanation."
2013,2013_57_sofia_garanti_koza_wta_tournament_of_champions,2013-W-CHA-BUL-01A-2013,1043,"Same event as the 2009 row above (id 1043) - see that note for the full explanation."
2014,2014_58_sofia_garanti_koza_wta_tournament_of_champions,2014-W-CHA-BUL-01A-2014,1043,"Same event as the 2009 row above (id 1043) - see that note for the full explanation."
2013,2013_23_oeiras_portugal_open,2013-W-INT-POR-01A-2013,358,"User-found via the WTA API (no public tournament page found). Root cause here differs from the other rows above: score computes to ~0.7999999999999999 (floating-point rounding, landing right at the 0.8 threshold boundary) for Sackmann 'Oeiras' vs WTA-API group_name 'OEIRAS (ESTORIL)' - not a risky low-confidence match, just missed the cutoff by a hair. 2007-2012 (Sackmann called it 'Estoril') already auto-resolved to 358 with room to spare."
2014,2014_23_oeiras_portugal_open,2014-W-INT-POR-01A-2014,358,"Same event/id as the 2013 row above - see that note for the full explanation."
2015,2015_46_tokyo_japan_women_s_tennis_open,2015-W-INT-JPN-01A-2015,405,"User-verified via https://www.wtatennis.com/tournaments/405/osaka/2015 - this event's usual host city is Osaka (WTA-API group_name 'OSAKA', matching automatically 2009-2014 and 2016+), but 2015 specifically was hosted in Tokyo instead ('Japan Women's Open Tennis'), so that one year's name diverged too far to score above the 0.8 backfill threshold."
2025,,2025-W-ITF-FRA-2025-001,4787,"2025 was the first year Sackmann's WTA data started tagging some ITF W35-W100 events with W-ITF-style tourney_ids (previously untracked). Resolved by matching Sackmann's exact start date (2025-02-24, W50+H Macon) against wta_api_tournaments.csv - note id 3096 is also named MACON but is a different, October-dated USA event, not this one."
2025,,2025-W-ITF-ESP-2025-007,4728,"Same 2025 new-ITF-tracking situation as the Macon row above. Resolved by exact start date match (2025-06-16, W35+H Tauste) against wta_api_tournaments.csv id 4728."
2025,,2025-W-ITF-ESP-2025-017,4518,"Same 2025 new-ITF-tracking situation as the Macon row above. Resolved by exact start date match (2025-06-23, W50+H Palma del Rio) against wta_api_tournaments.csv id 4518."
2025,,2025-W-ITF-GER-2025-016,3193,"Same 2025 new-ITF-tracking situation as the Macon row above. Resolved by exact start date match (2025-08-04, W50+H Leipzig) against wta_api_tournaments.csv id 3193."
2025,,2025-W-ITF-BEL-2025-001,162,"Same 2025 new-ITF-tracking situation as the Macon row above. Resolved by exact start date match (2025-08-04, W50+H Koksijde) against wta_api_tournaments.csv id 162."
2025,,2025-W-ITF-BUL-2025-003,4490,"Same 2025 new-ITF-tracking situation as the Macon row above. Resolved by exact start date match (2025-09-15, W50+H Pazardzhik) against wta_api_tournaments.csv id 4490 - a distinct, earlier edition from the 2025-W-ITF-BUL-2025-002 row below."
2025,,2025-W-ITF-BUL-2025-002,4916,"User asked to double-check this one specifically: their initial guess of id 633 (Varna) was wrong - Sackmann's actual data for this tourney_id is W50+H Pazardzhik (2025-09-22), not Varna (a separate, later-dated W15 event). Resolved by exact start date match against wta_api_tournaments.csv id 4916 'PAZARDZHIK 2', the second of two same-city ITF editions this year."
2022,2022_2_melbourne_melbourne_summer_set_1,2022-2058,2058,"Automatic UK<->Sackmann matcher swapped these two same-week/same-city/same-surface events: both UK rows share location='Melbourne', which scores 0.9 against BOTH Sackmann 'Melbourne 1' and 'Melbourne 2' (vs. 0.667/0.606 for the actual tournament_name comparison), so the location-based max() score ties and the greedy assignment picked the wrong pairing. Confirmed via champion cross-check: Sackmann 2022-2058 champion is Simona Halep, matching UK Melbourne Summer Set 1's final winner Halep S."
2022,2022_3_melbourne_melbourne_summer_set_2,2022-2059,2059,"Same swap as the 2022-2058 row above, other half of the pair. Confirmed via champion cross-check: Sackmann 2022-2059 champion is Amanda Anisimova, matching UK Melbourne Summer Set 2's final winner Anisimova A."
